10	300
Aaron_Eckhart	3	4
Aaron_Eckhart	4	2
Aaron_Eckhart	4	3
Aaron_Guiel	2	4
Aaron_Guiel	4	1
Aaron_Guiel	1	4
Aaron_Patterson	1	3
Aaron_Patterson	1	1
Aaron_Patterson	2	2
Aaron_Peirsol	8	3
Aaron_Peirsol	1	1
Aaron_Peirsol	3	4
Aaron_Pena	1	4
Aaron_Pena	2	4
Aaron_Pena	3	1
Aaron_Sorkin	4	1
Aaron_Sorkin	5	1
Aaron_Sorkin	7	7
Aaron_Tippin	3	3
Aaron_Tippin	3	1
Aaron_Tippin	4	4
Abbas_Kiarostami	2	4
Abbas_Kiarostami	4	4
Abbas_Kiarostami	1	2
Abba_Eban	4	2
Abba_Eban	3	3
Abba_Eban	4	2
Abdel_Madi_Shabneh	4	1
Abdel_Madi_Shabneh	2	2
Abdel_Madi_Shabneh	3	2
Abdel_Nasser_Assidi	1	2
Abdel_Nasser_Assidi	3	2
Abdel_Nasser_Assidi	3	3
Abdulaziz_Kamilov	4	1
Abdulaziz_Kamilov	2	1
Abdulaziz_Kamilov	2	4
Abdullah	15	16
Abdullah	8	6
Abdullah	3	3
Abdullah_Ahmad_Badawi	4	3
Abdullah_Ahmad_Badawi	2	2
Abdullah_Ahmad_Badawi	3	3
Abdullah_al-Attiyah	6	6
Abdullah_al-Attiyah	8	2
Abdullah_al-Attiyah	5	2
Abdullah_Gul	41	11
Abdullah_Gul	46	24
Abdullah_Gul	36	23
Abdullatif_Sener	6	1
Abdullatif_Sener	7	3
Abdullatif_Sener	3	4
Abdul_Majeed_Shobokshi	4	4
Abdul_Majeed_Shobokshi	1	1
Abdul_Majeed_Shobokshi	1	1
Abel_Aguilar	1	2
Abel_Aguilar	2	1
Abel_Aguilar	3	1
Abel_Pacheco	9	5
Abel_Pacheco	9	10
Abel_Pacheco	1	11
Abid_Hamid_Mahmud_Al-Tikriti	7	5
Abid_Hamid_Mahmud_Al-Tikriti	2	8
Abid_Hamid_Mahmud_Al-Tikriti	4	5
Abraham_Foxman	3	1
Abraham_Foxman	2	4
Abraham_Foxman	2	1
Aby_Har-Even	4	1
Aby_Har-Even	4	4
Aby_Har-Even	3	1
Adam_Ant	1	3
Adam_Ant	2	2
Adam_Ant	1	1
Adam_Freier	1	4
Adam_Freier	3	3
Adam_Freier	4	3
Adam_Kennedy	4	1
Adam_Kennedy	3	2
Adam_Kennedy	2	2
Adam_Mair	1	4
Adam_Mair	3	4
Adam_Mair	1	1
Adam_Rich	2	3
Adam_Rich	4	4
Adam_Rich	3	1
Adam_Sandler	14	2
Adam_Sandler	6	5
Adam_Sandler	14	14
Adam_Scott	3	1
Adam_Scott	3	2
Adam_Scott	4	1
Adelina_Avila	4	2
Adelina_Avila	3	3
Adelina_Avila	3	1
Adel_Al-Jubeir	6	9
Adel_Al-Jubeir	12	1
Adel_Al-Jubeir	10	10
Adisai_Bodharamik	4	3
Adisai_Bodharamik	2	1
Adisai_Bodharamik	1	3
Adolfo_Aguilar_Zinser	10	12
Adolfo_Aguilar_Zinser	12	7
Adolfo_Aguilar_Zinser	12	8
Adolfo_Rodriguez_Saa	8	8
Adolfo_Rodriguez_Saa	7	3
Adolfo_Rodriguez_Saa	1	8
Adoor_Gopalakarishnan	1	4
Adoor_Gopalakarishnan	1	3
Adoor_Gopalakarishnan	3	2
Adriana_Lima	2	3
Adriana_Lima	4	3
Adriana_Lima	2	4
Adriana_Perez_Navarro	4	3
Adriana_Perez_Navarro	4	2
Adriana_Perez_Navarro	1	1
Adrianna_Zuzic	2	4
Adrianna_Zuzic	1	4
Adrianna_Zuzic	3	3
Adrian_Fernandez	2	4
Adrian_Fernandez	1	3
Adrian_Fernandez	1	3
Adrian_McPherson	3	3
Adrian_McPherson	2	4
Adrian_McPherson	3	1
Adrian_Murrell	4	1
Adrian_Murrell	2	1
Adrian_Murrell	1	2
Adrian_Nastase	2	4
Adrian_Nastase	8	2
Adrian_Nastase	1	4
Adrien_Brody	5	8
Adrien_Brody	35	5
Adrien_Brody	12	35
Afton_Smith	1	4
Afton_Smith	3	2
Afton_Smith	1	3
Agbani_Darego	3	4
Agbani_Darego	1	2
Agbani_Darego	2	4
Ahmad_Jbarah	4	3
Ahmad_Jbarah	1	1
Ahmad_Jbarah	4	4
Ahmad_Masood	2	3
Ahmad_Masood	2	3
Ahmad_Masood	2	2
Ahmed_Ahmed	4	3
Ahmed_Ahmed	4	1
Ahmed_Ahmed	3	4
Ahmed_Chalabi	17	5
Ahmed_Chalabi	20	6
Ahmed_Chalabi	3	6
Ahmed_Ghazi	1	1
Ahmed_Ghazi	2	3
Ahmed_Ghazi	1	4
Ahmed_Lopez	4	1
Ahmed_Lopez	2	3
Ahmed_Lopez	3	4
Ahmed_Qureia	2	1
Ahmed_Qureia	2	3
Ahmed_Qureia	2	2
Ahmet_Demir	3	2
Ahmet_Demir	3	1
Ahmet_Demir	3	4
Ahmet_Necdet_Sezer	8	3
Ahmet_Necdet_Sezer	2	2
Ahmet_Necdet_Sezer	8	7
Aicha_El_Ouafi	12	10
Aicha_El_Ouafi	11	5
Aicha_El_Ouafi	9	11
Aidan_Quinn	2	4
Aidan_Quinn	4	4
Aidan_Quinn	1	3
Aileen_Riggin_Soule	4	2
Aileen_Riggin_Soule	2	1
Aileen_Riggin_Soule	4	1
Ainsworth_Dyer	4	4
Ainsworth_Dyer	4	2
Ainsworth_Dyer	3	1
Ain_Seppik	1	3
Ain_Seppik	3	2
Ain_Seppik	4	3
Aitor_Gonzalez	2	3
Aitor_Gonzalez	2	1
Aitor_Gonzalez	2	4
Ai_Sugiyama	11	18
Ai_Sugiyama	9	9
Ai_Sugiyama	17	3
AJ_Cook	2	1
AJ_Cook	3	1
AJ_Cook	4	3
AJ_Lamas	3	1
AJ_Lamas	2	1
AJ_Lamas	4	4
Akbar_Al_Baker	2	1
Akbar_Al_Baker	3	4
Akbar_Al_Baker	2	1
Akbar_Hashemi_Rafsanjani	3	4
Akbar_Hashemi_Rafsanjani	3	1
Akbar_Hashemi_Rafsanjani	3	4
Akhmed_Zakayev	6	7
Akhmed_Zakayev	6	6
Akhmed_Zakayev	5	6
Akiko_Morigami	1	2
Akiko_Morigami	1	2
Akiko_Morigami	3	3
Alain_Ducasse	1	4
Alain_Ducasse	2	2
Alain_Ducasse	1	4
Alanis_Morissette	2	4
Alanis_Morissette	3	1
Alanis_Morissette	4	2
Alanna_Ubach	4	4
Alanna_Ubach	4	3
Alanna_Ubach	4	3
Alan_Ball	8	4
Alan_Ball	5	8
Alan_Ball	6	6
Alan_Dreher	1	3
Alan_Dreher	3	1
Alan_Dreher	3	3
Alan_Greer	1	4
Alan_Greer	4	1
Alan_Greer	4	2
Alan_Jackson	1	2
Alan_Jackson	3	1
Alan_Jackson	4	2
Alan_Mulally	1	2
Alan_Mulally	7	3
Alan_Mulally	4	8
Alan_Stonecipher	3	3
Alan_Stonecipher	2	4
Alan_Stonecipher	2	1
Alan_Tang_Kwong-wing	1	3
Alan_Tang_Kwong-wing	3	1
Alan_Tang_Kwong-wing	2	2
Alan_Zemaitis	2	1
Alan_Zemaitis	4	2
Alan_Zemaitis	4	3
Alastair_Campbell	1	16
Alastair_Campbell	16	2
Alastair_Campbell	1	16
Alastair_Johnston	4	3
Alastair_Johnston	3	3
Alastair_Johnston	3	4
Albaro_Recoba	3	2
Albaro_Recoba	3	2
Albaro_Recoba	2	4
Alberta_Lee	4	3
Alberta_Lee	4	2
Alberta_Lee	1	1
Alberto_Acosta	4	3
Alberto_Acosta	4	3
Alberto_Acosta	1	3
Alberto_Fujimori	8	7
Alberto_Fujimori	2	1
Alberto_Fujimori	2	7
Alberto_Gonzales	4	4
Alberto_Gonzales	4	1
Alberto_Gonzales	1	4
Alberto_Ruiz_Gallardon	1	4
Alberto_Ruiz_Gallardon	1	3
Alberto_Ruiz_Gallardon	4	1
Alberto_Sordi	3	2
Alberto_Sordi	2	3
Alberto_Sordi	1	4
Albert_Brooks	1	1
Albert_Brooks	3	2
Albert_Brooks	1	1
Albert_Costa	11	16
Albert_Costa	16	2
Albert_Costa	15	15
Albert_Montanes	1	3
Albert_Montanes	2	2
Albert_Montanes	3	2
Albrecht_Mentz	4	7
Albrecht_Mentz	5	7
Albrecht_Mentz	3	7
Aldo_Paredes	4	2
Aldo_Paredes	3	4
Aldo_Paredes	3	4
Alecos_Markides	2	3
